Query,Clicks,Impressions,CTR,Position,Cluster
mercy pain clinic,7,1597,0.44,10.1,clinic-name
pain zero,7,1585,0.44,10.07,generic
dunes pain specialists,4,1575,0.25,6.64,clinic-name
proper pain solutions,7,1565,0.45,7.91,generic
advanced pain medicine,9,1558,0.58,11.11,generic
cullman pain and wellness,7,1544,0.45,8.87,clinic-name
tennessee pain professionals,126,1533,8.22,4.88,city-state
center for symptom relief,279,1492,18.7,4.02,clinic-name
lafayette pain care kokomo,8,1475,0.54,8.67,clinic-name
puget sound pain clinic puyallup,5,1472,0.34,6.91,clinic-name
clearway pain solutions white marsh,6,1465,0.41,9.43,generic
puget sound pain clinic lakewood,7,1446,0.48,8.35,clinic-name
premier pain and wellness,28,1443,1.94,6.74,clinic-name
center for pain dothan al,6,1442,0.42,6.46,city-state
granger pain and spine,6,1436,0.42,7.74,generic
pain clinic silverdale,4,1429,0.28,10.44,clinic-name
millennium pain management,9,1424,0.63,9.16,generic
uc pain management,13,1411,0.92,7.86,generic
centurion spine and pain,4,1383,0.29,9.01,generic
pain clinic dakota dunes,30,1365,2.2,5.06,clinic-name
total pain management,7,1347,0.52,6.91,generic
advanced pain solutions,7,1333,0.53,9.08,generic
mercy pain management springfield mo,8,1332,0.6,5.98,city-state
insight pain management,6,1323,0.45,9.54,generic
dr james oliver,40,1321,3.03,5.39,clinic-name
memorial pain clinic,7,1292,0.54,12.25,clinic-name
swedish pain clinic,12,1283,0.94,8.16,clinic-name
florida pain care,7,1266,0.55,8.02,city-state
universal pain management,4,1264,0.32,13.31,generic
jawad bhatti,47,1258,3.74,8.84,generic
pain management harrison arkansas,7,1256,0.56,8.01,city-state
southern oklahoma pain management,14,1243,1.13,7.28,city-state
premier pain clinic,10,1230,0.81,9.83,clinic-name
nevada pain care gibson,10,1226,0.82,7.39,city-state
midsouth spine and pain,9,1222,0.74,7.72,generic
regen doctors,17,1201,1.42,10.38,generic
honolulu pain management,23,1201,1.92,8.45,generic
pain management mountain home arkansas,4,1189,0.34,8.33,city-state
midsouth spine and pain associates,15,1171,1.28,7.4,clinic-name
carolina spine and pain,12,1159,1.04,8.41,generic
jb hunt neuroscience institute,10,1158,0.86,7.77,clinic-name
clearway pain solutions frederick md,7,1154,0.61,9.11,city-state
vitality pain center,29,1150,2.52,7.95,clinic-name
southwest pain center,4,1129,0.35,9.02,clinic-name
spectrum pain clinic jackson tn,8,1129,0.71,7.4,city-state
pain clinics of central california stockton,6,1127,0.53,6.77,city-state
oliver james md,63,1123,5.61,4.53,city-state
peninsula pain clinic silverdale,11,1116,0.99,8.42,clinic-name
lifespring pain management,8,1114,0.72,7.65,generic
hawaii institute for pain,5,1112,0.45,7.48,city-state
montgomery pain institute,5,1108,0.45,7.33,clinic-name
ohsu pain clinic,6,1088,0.55,6.58,clinic-name
sweetwater pain and spine sparks,7,1084,0.65,4.75,generic
pain physicians of atlanta,7,1084,0.65,12.85,clinic-name
complete pain care,28,1083,2.59,6.78,clinic-name
phenix city pain management,6,1067,0.56,6.02,generic
atlas pain and spine richmond ky,5,1036,0.48,7.51,city-state
treasure valley pain center,7,1030,0.68,7.32,clinic-name
dr lydia ferrell,16,1026,1.56,8.41,clinic-name
advanced pain and spine,5,1021,0.49,7.92,generic
family first pain management,5,992,0.5,9.08,generic
dr glen david,5,980,0.51,7.78,clinic-name
brain and pain care,27,977,2.76,7.75,clinic-name
clearway pain management,4,972,0.41,6.86,generic
brookhaven pain management,10,962,1.04,9.44,generic
pain source solutions,4,961,0.42,6.11,generic
total pain care,8,951,0.84,12.16,clinic-name
dr barclay laurel ms,19,948,2.0,6.23,city-state
dominion spine and pain springfield va,5,946,0.53,4.4,city-state
vitruvian health grand rapids,7,940,0.74,6.09,clinic-name
"pain management consultants of southwest florida, pl",8,923,0.87,7.63,city-state
desert pain specialists rancho mirage,12,922,1.3,6.39,clinic-name
paincare,7,922,0.76,9.26,clinic-name
pain institute,8,903,0.89,14.87,clinic-name
center for pain management sartell,6,901,0.67,11.86,clinic-name
southeast spine and pain associates,4,881,0.45,9.96,clinic-name
dr jawad bhatti,21,875,2.4,8.86,clinic-name
elite pain management,6,874,0.69,12.93,generic
pain management institute bethesda,5,868,0.58,6.81,clinic-name
sanford pain clinic,5,868,0.58,10.25,clinic-name
pivotal point rehab,13,864,1.5,7.48,clinic-name
west coast health and wellness,8,862,0.93,5.16,clinic-name
restore health and pain treatment group,4,857,0.47,7.51,clinic-name
dr. jawad bhatti,52,853,6.1,7.25,clinic-name
pain management kingsport tn,17,852,2.0,8.72,city-state
pain management cookeville tn,24,851,2.82,7.77,city-state
carolina spine and pain centers,8,843,0.95,7.95,clinic-name
three crosses pain management,17,832,2.04,4.85,generic
dr. oliver james,58,828,7.0,4.54,clinic-name
intermountain pain and injury,7,827,0.85,5.49,generic
all about pain and spine,6,820,0.73,6.35,generic
pain treatment center bismarck,5,810,0.62,6.39,clinic-name
total pain care hattiesburg ms,8,808,0.99,7.01,city-state
fremont pain treatment center,48,806,5.96,4.47,clinic-name
advanced pain management of oklahoma,7,803,0.87,10.34,city-state
crimson pain management,10,800,1.25,5.17,generic
dominion pain and spine,5,799,0.63,5.75,generic
meridian medical,5,798,0.63,7.35,clinic-name
eastern shore pain management,6,796,0.75,8.4,generic
dr silver,14,786,1.78,4.93,clinic-name
dr rafi,22,785,2.8,8.72,clinic-name
texas wellness and pain center,5,778,0.64,10.53,city-state
pca pain care center,106,777,13.64,4.16,clinic-name
methodist pain management,18,767,2.35,6.4,generic
access pain solutions reviews,5,760,0.66,10.38,generic
pain management bristol tn,27,759,3.56,8.53,city-state
comprehensive pain and spine,4,757,0.53,8.39,generic
wv pain institute,11,757,1.45,5.24,city-state
pinnacle pain scottsdale,5,756,0.66,8.59,generic
nj institute for pain relief cranford nj,10,745,1.34,5.47,city-state
integrated pain and neuroscience,6,741,0.81,6.75,generic
dr vish richmond indiana,15,739,2.03,4.65,city-state
superior pain management anderson sc,29,737,3.93,4.7,city-state
wenatchee pain clinic,4,735,0.54,5.22,clinic-name
az pain doctors glendale,8,734,1.09,7.0,city-state
carolinas center for advanced management of pain,16,733,2.18,9.16,clinic-name
access pain solutions muskogee,8,732,1.09,6.6,generic
first health pain clinic,7,730,0.96,9.28,clinic-name
vitality pain center lexington ky,8,728,1.1,10.1,city-state
pain management hopkinsville ky,16,725,2.21,7.22,city-state
finley pain clinic,15,724,2.07,7.77,clinic-name
mililani pain center,19,722,2.63,8.09,clinic-name
oncall pain,5,721,0.69,9.0,generic
open arms pain clinic reviews,5,718,0.7,9.13,clinic-name
advanced pain management anderson indiana,20,711,2.81,6.1,city-state
lodi pain clinic,30,709,4.23,5.95,clinic-name
bluffs pain management,4,705,0.57,7.85,generic
st luke's pain management,7,702,1.0,8.32,generic
spine and pain associates chattanooga,20,699,2.86,4.61,clinic-name
laurel pain clinic laurel ms,7,698,1.0,9.17,city-state
imperial pain specialists,9,690,1.3,6.35,clinic-name
innovative pain and wellness,4,686,0.58,7.31,clinic-name
st madron medical clinic,21,682,3.08,5.67,clinic-name
advanced pain center waterford,23,666,3.45,5.57,clinic-name
utah pain relief institute,5,666,0.75,14.45,city-state
pain management laurel ms,4,665,0.6,13.74,city-state
apex spine and pain,4,664,0.6,6.03,generic
brain and pain care shreveport la,15,662,2.27,7.0,city-state
atlas pain and spine corbin kentucky,6,656,0.91,5.96,city-state
arkansas spine and pain jacksonville,5,652,0.77,8.42,city-state
carolina center for advanced management of pain,24,650,3.69,8.16,clinic-name
advance pain management,6,647,0.93,9.41,generic
dr chen mobile al,4,645,0.62,8.08,city-state
inland pain specialists victorville,9,641,1.4,6.07,clinic-name
csra pain management,49,640,7.66,4.57,generic
dr quadri michigan city,7,636,1.1,6.98,city-state
pain management doctors near me that prescribe narcotics,54,634,8.52,10.48,near-me
pardee pain management,4,634,0.63,8.12,generic
pain clinic waterloo iowa,4,631,0.63,12.29,city-state
st louis pain center,9,631,1.43,6.91,clinic-name
stormont vail pain management,4,631,0.63,8.51,generic
pain management parkersburg wv,8,626,1.28,6.6,city-state
dr townsend smith,5,622,0.8,7.77,clinic-name
dr ajay aggarwal,8,620,1.29,11.59,clinic-name
"new jersey institute for pain relief (cranford) - dr. pucciarelli, d.c.",13,617,2.11,5.51,city-state
pain gps clinic,10,616,1.62,9.38,clinic-name
red rock pain management,5,615,0.81,7.07,generic
pain management cambridge ohio,15,607,2.47,6.33,city-state
horizon pain management,22,605,3.64,5.29,generic
dr gupta pain management,17,604,2.81,10.92,clinic-name
damon cary,16,604,2.65,7.88,generic
summa pain care,14,601,2.33,6.8,clinic-name
pain management russellville ar,4,598,0.67,9.4,city-state
dr barclay,16,596,2.68,6.37,clinic-name
dr miller pain management,9,594,1.52,6.6,clinic-name
atrium pain management monroe nc,5,590,0.85,8.35,city-state
texas pain physicians,5,588,0.85,13.17,city-state
national pain and spine winchester va,5,584,0.86,9.33,city-state
desert pain management rancho mirage,7,573,1.22,8.54,generic
national spine and pain center locations,4,572,0.7,10.92,clinic-name
pain management forest city nc,6,571,1.05,7.41,city-state
texas pain specialists,14,567,2.47,10.11,city-state
kentucky pain associates,49,563,8.7,5.34,city-state
eastern physical medicine and wellness center,17,561,3.03,6.1,clinic-name
pain management group cookeville tn,5,560,0.89,5.52,city-state
mid michigan pain management,17,559,3.04,8.47,city-state
pain and spine associates,10,559,1.79,9.69,clinic-name
mercy spine and pain management,4,558,0.72,10.36,generic
south lake pain institute,21,556,3.78,7.73,clinic-name
pain specialist of cincinnati,15,553,2.71,9.02,generic
carson city pain clinic,5,548,0.91,6.67,clinic-name
james oliver md,30,547,5.48,4.5,city-state
dr jeffrey berg,12,546,2.2,8.25,clinic-name
portland pain solutions,6,544,1.1,4.77,generic
arkansas spine and pain conway,6,542,1.11,7.73,city-state
pain care,5,539,0.93,14.3,clinic-name
kaseman pain and spine,6,539,1.11,4.72,generic
spine & pain associates,26,538,4.83,5.32,clinic-name
interventional pain consultants farragut tn,7,532,1.32,5.98,city-state
balint pain management center,25,527,4.74,5.52,clinic-name
dr kyle oh,5,525,0.95,10.71,city-state
western pain management,5,523,0.96,9.72,generic
california pain management group,11,522,2.11,9.41,city-state
nadar pain care,5,518,0.97,5.54,clinic-name
dr prevo okc,6,517,1.16,7.15,clinic-name
west virginia pain institute,7,513,1.36,5.94,city-state
life spring pain management,7,509,1.38,6.42,generic
taconic spine,6,504,1.19,8.6,generic
trinity pain management,12,504,2.38,11.3,generic
dr powell pain management,5,503,0.99,10.97,clinic-name
aurora pain management milwaukee,5,502,1.0,7.68,generic
meridian medical fort smith ar,8,499,1.6,8.23,city-state
spine and pain,5,492,1.02,8.74,generic
trinity pain center,9,490,1.84,13.5,clinic-name
uofl pain management,4,489,0.82,9.34,generic
advanced pain center,20,487,4.11,6.35,clinic-name
firsthealth interventional pain medicine - pinehurst,5,487,1.03,8.26,clinic-name
aurora pain management doctors,5,484,1.03,9.81,generic
virginia interventional pain & spine center,5,481,1.04,7.26,city-state
dr varma pain management,4,478,0.84,9.38,clinic-name
dr delara farmington ct,12,478,2.51,4.43,city-state
pain management clarksville tn,9,477,1.89,14.57,city-state
altru pain management,4,477,0.84,7.35,generic
insight pain management dearborn,20,472,4.24,4.33,generic
suwanee pain management,9,472,1.91,8.91,generic
new jersey institute for pain relief,5,472,1.06,6.61,city-state
dimensions pain management,4,470,0.85,13.32,generic
brandywine pain management,21,468,4.49,6.43,generic
open arms pain clinic colorado springs,43,467,9.21,4.66,city-state
brandon pain clinic,10,466,2.15,10.06,clinic-name
dr nok cartersville ga,4,466,0.86,6.09,city-state
alan spanos,23,464,4.96,8.88,generic
lakeview spine,15,463,3.24,6.75,generic
carolina spine and pain sumter sc,27,462,5.84,4.54,city-state
pain management beckley wv,5,457,1.09,12.03,city-state
spine and pain associates chattanooga tn,11,457,2.41,4.2,city-state
elite pain consultants,12,454,2.64,6.57,generic
pain specialists of cincinnati,39,453,8.61,8.41,clinic-name
west michigan interventional pain and spine,4,451,0.89,5.67,city-state
dr lou pain management,5,450,1.11,5.73,clinic-name
columbia pain management berwick pa,6,448,1.34,8.03,city-state
dr silver fort smith ar,11,446,2.47,5.88,city-state
centra medical group physical medicine & pain management center,6,445,1.35,6.25,clinic-name
spine and pain center bismarck,21,444,4.73,5.03,clinic-name
comprehensive pain and headache treatment center,76,443,17.16,4.88,condition
chronic pain management,5,443,1.13,6.83,condition
columbus pain center,4,441,0.91,13.22,clinic-name
pain relief center elizabethtown ky,36,439,8.2,4.28,city-state
renew medical clinic,22,439,5.01,11.57,clinic-name
piedmont pain medicine,17,436,3.9,7.1,generic
pain clinic beckley wv,13,434,3.0,5.64,city-state
pain clinic kingsport tn,6,434,1.38,8.63,city-state
pain management muskogee,4,434,0.92,9.21,generic
pain and spine center,6,434,1.38,9.83,clinic-name
dr yee beckley wv,5,433,1.15,6.0,city-state
pain clinics of central california visalia,4,432,0.93,7.87,city-state
presbyterian pain and spine clinic,4,429,0.93,8.5,clinic-name
dr moyse,5,429,1.17,10.15,clinic-name
water's edge pain clinic yakima,4,427,0.94,8.36,clinic-name
dr gandhi pain management,5,427,1.17,10.93,clinic-name
my pain doc,5,426,1.17,5.11,generic
integrity pain consultants,4,426,0.94,8.96,generic
pain clinic cookeville tn,6,424,1.42,7.77,city-state
arizona pain scottsdale mountain view,4,423,0.95,4.81,city-state
dr danny silver,4,419,0.95,6.6,clinic-name
dr kloster,6,418,1.44,10.02,clinic-name
oliver james lexington ky,17,416,4.09,4.91,city-state
dr fan hutchinson ks,5,415,1.2,6.09,city-state
superior pain management reviews,7,415,1.69,9.46,generic
dr wright pain management,7,414,1.69,9.64,clinic-name
midwest pain clinic sioux falls,5,412,1.21,8.48,clinic-name
pain clinic laurel ms,5,411,1.22,9.48,city-state
texas interventional pain institute,4,411,0.97,12.89,city-state
uc health pain medicine center,7,405,1.73,8.12,clinic-name
lake street pain relief center,4,403,0.99,5.01,clinic-name
sean graham md,6,403,1.49,5.6,city-state
brain and pain shreveport la,6,403,1.49,5.93,city-state
miami valley pain center,4,402,1.0,6.8,clinic-name
solace pain management,4,400,1.0,8.76,generic
dr patrick oley,4,399,1.0,9.32,clinic-name
townsend smith,4,398,1.01,6.28,generic
pain clinic pittsfield ma,4,398,1.01,6.51,city-state
mercy pain management clinic,5,398,1.26,10.75,clinic-name
dr albers hastings ne,9,396,2.27,5.72,city-state
southern tennessee spine and pain center,9,396,2.27,7.19,city-state
dr berg pain management,14,391,3.58,6.04,clinic-name
dr tao chen,8,389,2.06,5.48,clinic-name
spine specialist near me,6,389,1.54,13.61,near-me
optimal pain and wellness fayetteville ar,20,389,5.14,5.52,city-state
center for pain dothan alabama,6,386,1.55,7.12,city-state
pain clinic corinth ms,4,385,1.04,9.73,city-state
midsouth spine and pain associates reviews,9,384,2.34,6.42,clinic-name
pain management group clarksville,6,384,1.56,4.15,clinic-name
dr nelson pain management,4,384,1.04,9.04,clinic-name
honolulu pain management clinic,31,382,8.12,6.22,clinic-name
pain clinic bismarck nd,5,380,1.32,11.41,city-state
mcleod pain management,6,375,1.6,8.1,generic
dr ajlouni,4,374,1.07,9.63,clinic-name
pain physicians of wisconsin,9,373,2.41,11.68,city-state
pain management covington va,6,370,1.62,9.35,city-state
dr poston,4,370,1.08,5.46,clinic-name
pain physicians of wisconsin franklin,9,369,2.44,10.62,city-state
pivotal point pain solutions,6,366,1.64,6.93,generic
chitra ramasubbu,4,364,1.1,7.99,generic
physicians pain services,5,363,1.38,6.03,clinic-name
restorative pain management,11,362,3.04,7.95,generic
"dr wilkinson pain management johnson city, tn",12,362,3.31,9.32,city-state
swedish pain services,4,362,1.1,7.42,generic
national spine and pain tysons,5,361,1.39,7.92,generic
pain pro specialists,27,358,7.54,5.68,clinic-name
dr patel pain management,6,358,1.68,9.27,clinic-name
keystone pain consultants,4,357,1.12,8.65,generic
"pain management weatherly drive clarksville, tn",10,357,2.8,6.17,city-state
pain management brookhaven ms,5,357,1.4,8.62,city-state
"knee pain centers of america: knee pain treatment in michigan | knee pain 
doctors michigan southfield",4,356,1.12,5.16,condition
dr knox pain management,4,356,1.12,9.69,clinic-name
pain clinic opelika al,5,356,1.4,10.44,city-state
michigan interventional pain center dearborn heights,6,356,1.69,4.66,city-state
advanced pain and spine missoula,6,356,1.69,7.87,generic
open arms pain management,25,355,7.04,4.96,generic
dr joiner roanoke va,5,353,1.42,11.59,city-state
regen doctors bethlehem pa,4,352,1.14,8.99,city-state
anesthesia and pain services,7,350,2.0,4.94,generic
methodist pain management flowood ms,8,349,2.29,5.01,city-state
dr chin pain management,9,348,2.59,8.76,clinic-name
pain management richmond indiana,10,348,2.87,8.06,city-state
dr rafi russellville arkansas,8,347,2.31,6.27,city-state
dr khan sanford maine,4,346,1.16,6.58,city-state
pain institute of central california,4,345,1.16,10.96,city-state
pain management consultants of southwest florida pl,5,342,1.46,6.31,city-state
"center for chronic pain management johnson city, tn",34,339,10.03,4.65,condition
west philadelphia injury center,8,337,2.37,6.66,clinic-name
dr patel edgerton wi,5,337,1.48,6.34,city-state
interventional pain management - mountain home,5,333,1.5,7.59,generic
dr vish,4,332,1.2,8.39,clinic-name
arkansas spine and pain white hall,6,331,1.81,4.78,city-state
dr pasupuleti,12,330,3.64,6.75,clinic-name
danny silver,4,330,1.21,8.68,generic
dr foster pain management,7,329,2.13,10.48,clinic-name
dr kemp,13,328,3.96,5.49,clinic-name
pain and spine specialists of ct,4,327,1.22,12.61,city-state
trinity pain clinic,4,327,1.22,10.69,clinic-name
access pain solutions muskogee reviews,6,327,1.83,5.87,generic
superior pain management anderson south carolina,7,327,2.14,6.26,city-state
pain management merced,12,326,3.68,7.43,generic
pain management prattville al,4,326,1.23,10.26,city-state
pain free life centers,9,325,2.77,9.18,clinic-name
dr cline pain management,20,325,6.15,4.78,clinic-name
cascade interventional pain center,6,324,1.85,6.07,clinic-name
american pain institute,6,324,1.85,8.94,clinic-name
pain management augusta maine,7,324,2.16,13.65,city-state
joel friedman maui,4,320,1.25,5.69,generic
pain center billings mt,5,319,1.57,6.57,city-state
dr hsu pain management,6,318,1.89,11.94,clinic-name
pain management phenix city al,7,318,2.2,5.86,city-state
puget sound pain clinic - lakewood (a sound pain alliance member),7,318,2.2,5.82,clinic-name
dr fan farmington mo,10,315,3.17,8.69,city-state
dr jawad bhatti richmond va,10,314,3.18,9.11,city-state
pain management valleydale road,6,313,1.92,9.14,generic
arnold warfield pain center,8,312,2.56,6.91,clinic-name
southern pain institute,4,311,1.29,9.59,clinic-name
grace point pain management maryville tn,4,311,1.29,7.46,city-state
"dr. brian t. nichol, md",4,310,1.29,7.4,city-state
dr oliver pain management,5,309,1.62,10.45,clinic-name
oklahoma pain management shawnee,6,309,1.94,7.81,city-state
dr oliver james reviews,8,309,2.59,11.16,clinic-name
new west spine and sport,9,309,2.91,5.46,generic
vitruvian pain clinic,6,308,1.95,4.53,clinic-name
dr usmani derry nh,10,307,3.26,5.36,city-state
integris pain management,7,307,2.28,8.7,generic
athens limestone pain center,4,307,1.3,4.73,clinic-name
balint pain management,15,307,4.89,5.62,generic
pain management queensbury ny,5,307,1.63,8.57,city-state
pain management wheeling wv,5,307,1.63,8.69,city-state
comprehensive pain management of oklahoma,5,306,1.63,8.14,city-state
pain management terre haute,12,306,3.92,14.4,generic
dr shah pain management,20,305,6.56,14.43,clinic-name
franciscan pain management,4,305,1.31,10.19,generic
dr ryan almeida,6,304,1.97,9.52,clinic-name
pain management mccomb ms,13,304,4.28,5.86,city-state
active pain treatment,24,302,7.95,6.17,generic
dr usmani,5,301,1.66,12.14,clinic-name
interventional pain center merced,25,298,8.39,4.89,clinic-name
wv pain institute beckley wv,8,297,2.69,5.04,city-state
advanced pain management of elwood,36,297,12.12,4.25,generic
comprehensive pain and spine clinic,12,295,4.07,9.27,clinic-name
pain center of lake cumberland,7,295,2.37,6.54,clinic-name
premier chronic pain care,13,294,4.42,7.81,condition
bluegrass bone and joint,25,291,8.59,4.22,generic
dr gupta orangeburg sc,7,290,2.41,4.93,city-state
center for complex pain care reviews,4,290,1.38,10.4,clinic-name
greenville pain & spine photos,7,289,2.42,5.95,generic
carolina spine and sport rehabilitation specialists,7,287,2.44,7.1,clinic-name
pain management wallingford ct,14,286,4.9,6.28,city-state
interventional pain medicine at peacehealth salmon creek clinic,5,284,1.76,6.46,clinic-name
dr quadri,8,283,2.83,8.23,clinic-name
pain management corinth ms,6,282,2.13,11.85,city-state
marshall pain clinic,11,281,3.91,7.46,clinic-name
dr bhatti,15,280,5.36,8.75,clinic-name
multicare pain management puyallup,5,278,1.8,9.48,clinic-name
mid-america pain clinic,10,278,3.6,5.8,clinic-name
pain clinics cookeville tn,4,278,1.44,7.51,city-state
dr tayeb,30,277,10.83,5.28,clinic-name
dr khan laporte indiana,7,277,2.53,9.55,city-state
greenville pain & spine,6,277,2.17,7.43,generic
dr lee pain management,12,276,4.35,5.95,clinic-name
dr thimineur,18,275,6.55,6.0,clinic-name
dr howard quint,11,273,4.03,5.59,clinic-name
osf pain clinic bloomington il,5,273,1.83,5.53,city-state
puget sound pain clinic - puyallup (a sound pain alliance member),6,273,2.2,5.25,clinic-name
methodist pain clinic,6,272,2.21,7.4,clinic-name
tlc pain management,31,270,11.48,4.63,generic
complex pain management,4,269,1.49,5.37,generic
chi pain clinic,6,268,2.24,8.48,clinic-name
pain relief center on dixie highway,4,268,1.49,6.84,clinic-name
lebanon pain and spine,7,265,2.64,6.58,generic
dr alan spanos,16,264,6.06,9.27,clinic-name
dr rafi russellville ar,15,263,5.7,6.03,city-state
adam kemp md,13,263,4.94,4.83,city-state
dr el khatib,4,263,1.52,7.81,clinic-name
pain care consultants,12,262,4.58,6.38,clinic-name
arizona pain | scottsdale mountain view,4,262,1.53,5.78,city-state
dr franiak,4,261,1.53,9.33,clinic-name
dr damon cary,12,260,4.62,5.0,clinic-name
central valley pain management tulare,4,260,1.54,5.55,generic
4 corners pain relief institute,8,259,3.09,6.64,clinic-name
"traditional chinese medicine and accupuncture services, dr. wu, yi qiao",17,259,6.56,4.31,clinic-name
alan spanos md,7,258,2.71,7.92,city-state
sunrise pain management,10,258,3.88,9.08,generic
tn premier care,8,256,3.12,4.49,city-state
dr oliver james lexington kentucky,14,255,5.49,5.82,city-state
brian meek,5,255,1.96,7.62,generic
dr bhatti richmond va,7,255,2.75,8.02,city-state
adam wallace md,4,254,1.57,7.42,city-state
knee pain centers of america reviews,4,252,1.59,8.99,condition
advanced pain medicine morgantown wv,5,251,1.99,4.67,city-state
vitruvian health ionia,4,251,1.59,4.16,clinic-name
dr delara pain management,5,250,2.0,4.63,clinic-name
dr adam kemp,13,250,5.2,4.5,clinic-name
pain management swansea ma,6,249,2.41,8.24,city-state
dr tada,4,249,1.61,9.81,clinic-name
dr schaffer pain management,6,249,2.41,8.16,clinic-name
barclay laurel ms,7,249,2.81,6.33,city-state
"dr. danny silver, md-meridian medical fort smith",8,247,3.24,5.98,clinic-name
pain management sumter sc,5,246,2.03,9.72,city-state
national spine and pain center richmond va,4,245,1.63,9.8,city-state
us pain and rehabilitation center,15,245,6.12,4.37,clinic-name
dr bhatti office,14,245,5.71,7.81,clinic-name
central valley pain management,4,242,1.65,10.32,generic
tiffini lake,5,240,2.08,5.36,generic
pain management martinsburg wv,6,240,2.5,14.2,city-state
pain management associates wichita ks,4,240,1.67,10.89,city-state
interventional pain consultants knoxville tn,5,239,2.09,6.48,city-state
waters edge pain clinic,4,238,1.68,7.66,clinic-name
marion pain clinic,9,238,3.78,8.94,clinic-name
lighthouse pain clinic,12,237,5.06,8.77,clinic-name
regen doctors allentown,4,236,1.69,6.04,generic
nexus orthopedics,4,235,1.7,6.14,generic
osf pain center,7,235,2.98,7.01,clinic-name
sanford pain clinic bismarck nd,5,235,2.13,6.67,city-state
allison gorski,4,234,1.71,11.11,generic
pain clinic bonney lake,8,234,3.42,4.88,clinic-name
brain and pain care shreveport,9,233,3.86,5.05,clinic-name
carolina spine and pain anderson sc,4,232,1.72,6.02,city-state
robert klickovich,9,231,3.9,10.13,generic
pain cure clinic,7,231,3.03,6.32,clinic-name
morton hospital pain clinic,12,229,5.24,6.5,clinic-name
