Page,Clicks,Impressions,CTR,Position,PageType
https://painclinics.com/pain-management/ic-pain-solutions-pc-in-46227/,189,2331,8.11,16.1,clinic
https://painclinics.com/pain-management/trucare-pain-management-ok-73159/,174,4044,4.3,20.58,clinic
https://www.painclinics.com/pain-management/optimal-pain-and-wellness-dr-regina-thurman-dr-mary-frances-daut-dr-ornette-gaines-ar-72703,163,3414,4.77,5.38,clinic
https://painclinics.com/pain-management/riverwoods-spine-and-pain-ut-84057/,161,2795,5.76,9.95,clinic
https://painclinics.com/pain-management/royal-pain-center-ga-30907/,158,5615,2.81,18.18,clinic
https://painclinics.com/pain-management/adam-kemp-m-d-or-97401/,158,2883,5.48,7.06,clinic
https://painclinics.com/pain-management/christopher-stowe-md-ma-2747/,155,3178,4.88,12.39,clinic
https://painclinics.com/pain-management/nevada-pain-wellness-center-nv-89146/,153,3517,4.35,36.49,clinic
https://painclinics.com/pain-management/comprehensive-pain-headache-treatment-center-ct-6525/,147,3649,4.03,15.85,clinic
https://painclinics.com/pain-management/vivek-barclay-md-ms-39440/,144,8034,1.79,9.49,clinic
https://painclinics.com/pain-management/interventional-pain-and-wellness-institute-ga-30269/,138,2408,5.73,15.23,clinic
https://www.painclinics.com/pain-management/t-luke-cramer-md-david-p-ellis-md-ok-73103,137,1822,7.52,7.14,clinic
https://www.painclinics.com/pain-management/vitality-pain-center-ky-40509,133,5194,2.56,8.74,clinic
https://www.painclinics.com/pain-management/open-arms-pain-clinic-co-80909,133,1562,8.51,4.64,clinic
https://www.painclinics.com/pain-tracking,132,2643,4.99,10.1,other
https://painclinics.com/pain-management/perimeter-pain-and-primary-tn-38501/,131,2406,5.44,7.8,clinic
https://painclinics.com/pain-management/center-for-chronic-pain-management-tn-37604/,130,5284,2.46,18.71,clinic
https://painclinics.com/?clinics=texas-pain-clinic,129,7132,1.81,13.66,clinic-old-url
https://painclinics.com/?clinics=ic-pain-solutions-pc,126,6393,1.97,41.55,clinic-old-url
https://painclinics.com/pain-management/southeastern-med-pain-management-oh-43725/,126,2424,5.2,15.13,clinic
https://painclinics.com/pain-management/advanced-pain-management-of-elwood-in-46012/,125,3875,3.23,10.89,clinic
https://painclinics.com/pain-management/dr-jeffrey-w-berg-md-ky-40217/,120,2766,4.34,6.35,clinic
https://painclinics.com/pain-management/dr-vishwajit-m-brahmbhatt-md-in-47374/,117,5283,2.21,7.93,clinic
https://painclinics.com/pain-management/zeeshan-tayeb-md-oh-45248/,117,3048,3.84,7.74,clinic
https://painclinics.com/?clinics=csar-pllc,116,2563,4.53,20.37,clinic-old-url
https://painclinics.com/pain-management/dr-danny-silver-md-meridian-medical-ar-72901/,115,6781,1.7,7.04,clinic
https://painclinics.com/pain-management/spine-pain-associates-tn-37404/,115,6753,1.7,16.52,clinic
https://painclinics.com/pain-management/carolina-spine-and-pain-centers-sc-29150/,115,4928,2.33,16.49,clinic
https://www.painclinics.com/pain-management/co/colorado-springs/open-arms-pain-clinic,115,1314,8.75,5.46,clinic
https://painclinics.com/ergonomic-adjustments-for-knee-pain/,114,29384,0.39,25.69,other
https://painclinics.com/pain-management/joint-and-spine-pain-center-north-tn-37042/,114,3801,3.0,32.87,clinic
https://painclinics.com/pain-management/modesto-pain-medicine-inc-ca-95350/,109,5935,1.84,22.61,clinic
https://painclinics.com/pain-management/center-for-complex-pain-care-va-23502/,108,5459,1.98,10.98,clinic
https://painclinics.com/pain-management/national-spine-and-pain-centers-kristoffer-de-lara-md-ct-6032/,107,5856,1.83,7.43,clinic
https://www.painclinics.com/pain-management/spine-pain-associates-tn-37660,107,3930,2.72,6.71,clinic
https://painclinics.com/pain-management/balint-pain-management-center-va-24486/,105,2332,4.5,9.05,clinic
https://painclinics.com/pain-management/dr-damon-d-cary-de-19805/,102,2333,4.37,11.89,clinic
https://www.painclinics.com/pain-management/nevada-pain-wellness-center-nv-89146,101,996,10.14,17.27,clinic
https://www.painclinics.com/pain-management/spine-pain-associates-tn-37620,100,3602,2.78,5.96,clinic
https://www.painclinics.com/pain-management/pain-institute-of-springfield-tn-37172,100,816,12.25,11.18,clinic
https://painclinics.com/?clinics=cottonwood-medical-clinic,99,9423,1.05,32.61,clinic-old-url
https://painclinics.com/pain-management/wade-s-lukken-m-d-sd-57049/,99,1604,6.17,8.37,clinic
https://painclinics.com/pain-management/honolulu-pain-management-clinic-llc-hi-96813/,98,6230,1.57,13.44,clinic
https://painclinics.com/pain-management/advanced-pain-center-mi-48328/,97,4252,2.28,8.39,clinic
https://www.painclinics.com/pain-management/royal-pain-center-ga-30907,97,3214,3.02,10.57,clinic
https://painclinics.com/pain-management/new-jersey-institute-for-pain-relief-cherry-hill-nj-8034/,96,4148,2.31,24.13,clinic
https://painclinics.com/pain-management/mercy-pain-management-center-north-tn-37849/,96,2521,3.81,37.93,clinic
https://painclinics.com/pain-management/daniel-s-bennett-md-dabpm-co-80401/,96,1418,6.77,21.21,clinic
https://painclinics.com/pain-management/frederick-c-fisher-m-d-sd-57049/,96,1407,6.82,10.38,clinic
https://painclinics.com/pain-management/thimineur-mark-md-ct-6450/,95,1619,5.87,8.0,clinic
https://painclinics.com/pain-management/rivers-edge-pain-relief-wheeling-west-virginia-wv-26003/,95,1595,5.96,15.28,clinic
https://painclinics.com/pain-management/dr-howard-quint-wa-98026/,94,1582,5.94,8.75,clinic
https://painclinics.com/pain-management/carolina-spine-and-sport-rehabilitation-specialists-pa-sc-29485/,93,2735,3.4,12.8,clinic
https://painclinics.com/pain-management/sage-interventional-pain-medicine-llc-in-46714/,92,1939,4.74,5.49,clinic
https://painclinics.com/?clinics=traditional-chinese-medicine-and-accupuncture-services-dr-wu-yi-qiao,91,3720,2.45,18.55,clinic-old-url
https://painclinics.com/pain-management/greenville-pain-spine-nc-27834/,89,6655,1.34,10.49,clinic
https://painclinics.com/pain-management/spine-pain-center-nd-58503/,89,2701,3.3,13.75,clinic
https://painclinics.com/pain-management/interventional-pain-center-merced-ca-95340/,88,2976,2.96,7.68,clinic
https://www.painclinics.com/pain-management/dr-john-s-lutz-m-d-ms-39202,88,909,9.68,7.88,clinic
https://www.painclinics.com/pain-management/knee-pain-centers-of-america-knee-pain-treatment-in-michigan-knee-pain-doctors-michigan-mi-48075,87,6359,1.37,11.08,clinic
https://www.painclinics.com/pain-management/comprehensive-pain-headache-treatment-center-ct-6525,87,1442,6.03,8.88,clinic
https://painclinics.com/pain-management/bellamy-pain-management-nc-27405/,87,1314,6.62,11.16,clinic
https://painclinics.com/?clinics=access-pain-solutions-muskogee-pain-management,86,8791,0.98,10.74,clinic-old-url
https://painclinics.com/pain-management/union-medical-group-pain-clinic-in-47804/,84,3884,2.16,32.95,clinic
https://www.painclinics.com/pain-management/dr-damon-d-cary-de-19805,83,881,9.42,4.48,clinic
https://painclinics.com/pain-management/lodi-pain-clinic-ca-95242/,82,3034,2.7,19.76,clinic
https://painclinics.com/?clinics=alan-spanos-md,82,1840,4.46,11.69,clinic-old-url
https://painclinics.com/pain-management/western-state-pain-institute-nv-89121/,81,6034,1.34,9.15,clinic
https://www.painclinics.com/pain-management/brain-and-pain-care-la-71105,81,2162,3.75,5.81,clinic
https://www.painclinics.com/pain-management/trucare-pain-management-ok-73159,81,1735,4.67,14.07,clinic
https://www.painclinics.com/pain-management/ic-pain-solutions-pc-in-46227,81,824,9.83,12.22,clinic
https://painclinics.com/pain-management/the-pain-management-group-clarksville-tn-37043/,80,13659,0.59,11.76,clinic
https://painclinics.com/pain-management/dr-brian-t-nichol-md-ar-72116/,80,3094,2.59,14.73,clinic
https://painclinics.com/pain-management/comprehensive-pain-headache-ct-6450/,80,2632,3.04,16.92,clinic
https://painclinics.com/pain-management/west-virginia-pain-institute-wv-25801/,79,3952,2.0,9.39,clinic
https://painclinics.com/pain-management/center-for-pain-management-dr-ramarao-pasupuleti-ky-42101/,79,2883,2.74,9.27,clinic
https://painclinics.com/pain-management/dr-ahmad-rafi-ar-72801/,77,3390,2.27,8.63,clinic
https://painclinics.com/pain-management/suwanee-pain-management-center-inc-ga-30024/,77,3226,2.39,16.39,clinic
https://www.painclinics.com/pain-management/the-pain-relief-center-elizabethtown-ky-40210,77,2302,3.34,26.23,clinic
https://painclinics.com/?clinics=superior-pain-management,76,8195,0.93,17.92,clinic-old-url
https://painclinics.com/pain-management/the-pain-relief-center-elizabethtown-ky-40210/,76,5432,1.4,33.94,clinic
https://www.painclinics.com/pain-management/spine-pain-associates-tn-37404,76,3401,2.23,12.62,clinic
https://painclinics.com/pain-management/dr-lydia-h-ferrell-md-in-46227/,76,1848,4.11,7.22,clinic
https://www.painclinics.com/pain-management/chronic-pain-management-ny-12801,76,1190,6.39,7.53,clinic
https://painclinics.com/?clinics=access-pain-solutions-tulsa-pain-management-doctor,75,11988,0.63,25.75,clinic-old-url
https://painclinics.com/pain-management/t-luke-cramer-md-david-p-ellis-md-ok-73103/,75,3678,2.04,12.42,clinic
https://www.painclinics.com/pain-management/greenville-pain-spine-nc-27834,75,3614,2.08,7.06,clinic
https://painclinics.com/pain-management/superior-pain-management-sc-29621/,75,2937,2.55,10.29,clinic
https://www.painclinics.com/pain-management/south-lake-pain-institute-fl-34711,75,2172,3.45,12.17,clinic
https://painclinics.com/pain-management/ammar-mahmoud-md-me-4401/,75,1746,4.3,10.78,clinic
https://painclinics.com/pain-management/csra-pain-management-sc-29841/,75,1610,4.66,12.79,clinic
https://painclinics.com/pain-management/dr-gayathry-inamdar-md-ia-50702/,75,1255,5.98,8.15,clinic
https://painclinics.com/pain-management/eric-dominguez-md-ma-2777/,74,2025,3.65,9.85,clinic
https://www.painclinics.com/pain-management/jawad-bhatti-md-va-23225,74,1863,3.97,7.11,clinic
https://painclinics.com/pain-management/dunes-pain-specialists-sd-57049/,73,8079,0.9,6.62,clinic
https://painclinics.com/pain-management/institute-of-interventional-pain-management-ar-72801/,73,3746,1.95,12.78,clinic
https://www.painclinics.com/pain-management/dr-ahmad-rafi-ar-72801,73,1925,3.79,5.82,clinic
https://painclinics.com/pain-management/new-jersey-institute-for-pain-relief-cranford-dr-pucciarelli-d-c-nj-7016/,72,6626,1.09,7.92,clinic
https://painclinics.com/?clinics=midsouth-spine-and-pain-associates,72,6418,1.12,13.68,clinic-old-url
https://www.painclinics.com/pain-management/pain-specialists-of-cincinnati-oh-45248,72,2037,3.53,11.19,clinic
https://painclinics.com/pain-management/dr-gaylyn-horne-ballard-m-d-al-35125/,71,2983,2.38,9.78,clinic
https://painclinics.com/pain-management/rutvij-jaydeep-shah-md-ga-31904/,71,1644,4.32,7.22,clinic
https://painclinics.com/pain-management/total-pain-treatment-centers-of-ct-ct-6511/,70,6899,1.01,13.04,clinic
https://www.painclinics.com/pain-management/dunes-pain-specialists-sd-57049,70,4260,1.64,5.35,clinic
https://painclinics.com/pain-management/institute-for-low-back-care-dr-panjini-sivanna-nd-58104/,70,1848,3.79,17.77,clinic
https://painclinics.com/pain-management/kentucky-pain-associates-ky-40202/,70,1759,3.98,19.58,clinic
https://www.painclinics.com/pain-management/dr-murray-e-joiner-jr-md-va-24018,69,3960,1.74,8.58,clinic
https://www.painclinics.com/pain-management/advanced-pain-management-of-elwood-in-46012,69,1854,3.72,5.32,clinic
https://www.painclinics.com/pain-management/kaloko-pain-center-hi-96740,69,1656,4.17,5.34,clinic
https://www.painclinics.com/pain-management/pain-relief-centers-ky-40216,69,1323,5.22,10.5,clinic
https://www.painclinics.com/pain-management/vivek-barclay-md-ms-39440,68,3593,1.89,6.78,clinic
https://www.painclinics.com/pain-management/interventional-pain-center-merced-ca-95340,68,1734,3.92,7.02,clinic
https://www.painclinics.com/pain-management/carolinas-center-for-advanced-management-of-pain-sc-29212,68,1584,4.29,6.77,clinic
https://painclinics.com/pain-management/physicians-pain-and-spine-specialists-pllc-ms-39503/,68,1492,4.56,21.3,clinic
https://painclinics.com/pain-management/michael-grille-ct-61065521/,68,1283,5.3,8.8,clinic
https://painclinics.com/pain-management/donna-morgan-m-d-or-97401/,68,1214,5.6,17.78,clinic
https://www.painclinics.com/pain-management/interventional-pain-and-wellness-institute-ga-30269,68,1009,6.74,10.66,clinic
https://www.painclinics.com/pain-management/midsouth-spine-and-pain-associates-ms-38834,67,2702,2.48,7.08,clinic
https://painclinics.com/pain-management/chronic-pain-management-ny-12801/,67,1249,5.36,7.85,clinic
https://painclinics.com/pain-management/midwest-pain-rehabilitation-cho-myung-j-md/,67,1140,5.88,9.7,clinic
https://painclinics.com/pain-management/pain-management-consultants-of-southwest-florida-pl-fl-33907/,66,8076,0.82,20.39,clinic
https://www.painclinics.com/pain-management/pain-management-consultants-of-southwest-florida-pl-fl-33907,66,4422,1.49,16.81,clinic
https://painclinics.com/pain-management/trinity-pain-center-oh-43952/,66,2951,2.24,10.74,clinic
https://www.painclinics.com/pain-management/zeeshan-tayeb-md-oh-45248,66,1582,4.17,6.73,clinic
https://www.painclinics.com/pain-management/perimeter-pain-and-primary-tn-38501,66,888,7.43,5.84,clinic
https://painclinics.com/pain-management/fremont-pain-treatment-center-ca-94536/,65,2556,2.54,12.09,clinic
https://painclinics.com/pain-management/gupta-avinash-md-sc-29118/,64,1890,3.39,7.37,clinic
https://painclinics.com/pain-management/smg-morton-hospital-pain-clinic-ma-2780/,64,1733,3.69,11.63,clinic
https://painclinics.com/pain-management/comprehensive-pain-management-center-brinton-lake-pa-19342/,64,1646,3.89,18.52,clinic
https://painclinics.com/pain-management/westerly-spine-pain-center-ri-2891/,64,1584,4.04,15.82,clinic
https://painclinics.com/pain-management/eastern-ct-pain-ct-6360/,64,898,7.13,14.24,clinic
https://painclinics.com/pain-management/complete-pain-care-al-35004/,63,1897,3.32,7.7,clinic
https://www.painclinics.com/pain-management/eric-dominguez-md-ma-2777,63,1622,3.88,6.68,clinic
https://painclinics.com/pain-management/uc-health-pain-medicine-center-oh-45069/,62,6698,0.93,12.95,clinic
https://painclinics.com/pain-management/dr-edward-doherty-md-nh-3054/,62,1857,3.34,13.58,clinic
https://www.painclinics.com/pain-management/comprehensive-pain-headache-ct-6450,62,1275,4.86,7.79,clinic
https://painclinics.com/pain-management/dr-sena-a-kihtir-md-mn-55102/,62,873,7.1,6.35,clinic
https://painclinics.com/?clinics=dominion-spine-and-pain-springfield-va,61,8391,0.73,8.97,clinic-old-url
https://painclinics.com/?clinics=broadway-neck-and-spine-pain-management-center,61,3554,1.72,41.0,clinic-old-url
https://www.painclinics.com/pain-management/trinity-pain-center-oh-43952,61,1547,3.94,6.96,clinic
https://painclinics.com/pain-management/vitruvian-health-mi-48846/,60,3987,1.5,7.5,clinic
https://painclinics.com/pain-management/jerry-marsella-md-al-36303/,60,3574,1.68,7.8,clinic
https://painclinics.com/?clinics=tennessee-pain-professionals,60,2588,2.32,24.1,clinic-old-url
https://painclinics.com/?clinics=north-alabama-rehabilitation-and-pain-specialist-llc,60,1648,3.64,20.11,clinic-old-url
https://www.painclinics.com/pain-management/tennessee-pain-professionals-tn-37917,60,1550,3.87,17.99,clinic
https://painclinics.com/?clinics=apex-pain-clinic-spencer,60,882,6.8,33.91,clinic-old-url
https://www.painclinics.com/pain-management/thimineur-mark-md-ct-6450,60,604,9.93,5.72,clinic
https://www.painclinics.com/pain-management/center-for-chronic-pain-management-tn-37604,59,2323,2.54,11.15,clinic
https://painclinics.com/pain-management/nexus-health-orthopedics-interventional-pain-management-nm-87507/,59,2142,2.75,10.62,clinic
https://www.painclinics.com/pain-management/kentucky-pain-associates-ky-40202,59,902,6.54,7.93,clinic
https://www.painclinics.com/pain-management/dr-danny-silver-md-meridian-medical-ar-72901,58,2928,1.98,5.66,clinic
https://painclinics.com/pain-management/dr-john-w-nelson-md-ok-73112/,58,2109,2.75,13.13,clinic
https://www.painclinics.com/pain-management/oklahoma-physical-medicine-pettingell-tim-g-md-ok-74137,58,888,6.53,5.12,clinic
https://painclinics.com/pain-management/pain-clinics-of-central-california-ca-95207/,57,6636,0.86,7.35,clinic
https://painclinics.com/pain-management/midsouth-spine-and-pain-associates-ms-38834/,57,4925,1.16,8.5,clinic
https://painclinics.com/pain-management/florida-pain-care-dr-daniel-schaffer-md-fl-34711/,57,3954,1.44,9.89,clinic
https://painclinics.com/?clinics=california-pain-management-group-inc,57,3529,1.62,38.73,clinic-old-url
https://painclinics.com/pain-management/united-physician-group-pain-management-sc-29307/,56,3289,1.7,15.59,clinic
https://painclinics.com/pain-management/steven-toscano-pa-nh-3054/,56,1864,3.0,10.62,clinic
https://www.painclinics.com/pain-management/spine-pain-center-nd-58503,56,1133,4.94,15.75,clinic
https://painclinics.com/pain-management/cathy-c-luo-md-ar-72703/,55,3963,1.39,6.96,clinic
https://www.painclinics.com/pain-management/carolina-spine-pain-nc-28117,55,1624,3.39,18.55,clinic
https://painclinics.com/pain-management/pain-clinic-lakeview-health-clinic-nd-58701/,55,1615,3.41,19.79,clinic
https://www.painclinics.com/pain-management/waters-edge-memorials-pain-relief-institute-wa-98902,54,2979,1.81,5.86,clinic
https://www.painclinics.com/pain-management/adam-kemp-m-d-or-97401,54,1566,3.45,9.25,clinic
https://painclinics.com/pain-management/patrick-l-retterath-m-d-sd-57201/,54,1541,3.5,13.69,clinic
https://painclinics.com/pain-management/integrated-pain-treatment-center-ca-95207-2/,54,1179,4.58,14.56,clinic
https://painclinics.com/pain-management/mc-comb-nopain-clinic-ms-39648/,54,882,6.12,6.49,clinic
https://www.painclinics.com/pain-management/riverwoods-spine-and-pain-ut-84057,54,703,7.68,6.14,clinic
https://painclinics.com/pain-management/robert-guirguis-do-pain-management-specialist-ppoa-fl-33782/,53,6160,0.86,10.85,clinic
https://painclinics.com/pain-management/the-pain-management-group-cookeville-tn-38501/,53,5037,1.05,9.8,clinic
https://painclinics.com/pain-management/active-pain-treatment-tn-37923/,53,3530,1.5,36.14,clinic
https://painclinics.com/pain-management/alb-pain-management-spine-care-nm-87109/,53,1863,2.84,18.69,clinic
https://painclinics.com/pain-management/lee-hungchih-md-oh-45069/,53,1421,3.73,6.96,clinic
https://www.painclinics.com/pain-management/dr-gaylyn-horne-ballard-m-d-al-35125,53,1252,4.23,6.7,clinic
https://painclinics.com/pain-management/north-alabama-pain-center-al-35058/,53,1187,4.47,12.51,clinic
https://www.painclinics.com/pain-management/the-pain-management-group-clarksville-tn-37043,52,4284,1.21,6.54,clinic
https://painclinics.com/pain-management/dr-leslie-foster-wv-25401/,52,2373,2.19,14.31,clinic
https://painclinics.com/pain-management/carolina-spine-pain-nc-28117/,52,2117,2.46,31.64,clinic
https://www.painclinics.com/pain-management/advanced-pain-center-mi-48328,52,1570,3.31,5.62,clinic
https://painclinics.com/?clinics=miller-scott-md,52,893,5.82,12.53,clinic-old-url
https://painclinics.com/pain-management/the-center-for-pain-dothan-al-36303/,51,9771,0.52,31.62,clinic
https://painclinics.com/pain-management/insight-pain-management-mi-48126/,51,7245,0.7,11.58,clinic
https://painclinics.com/pain-management/methodist-pain-management-ms-39232/,51,3141,1.62,19.92,clinic
https://www.painclinics.com/pain-management/total-pain-treatment-centers-of-ct-ct-6511,51,2954,1.73,10.53,clinic
https://painclinics.com/pain-management/eastern-physical-medicine-and-wellness-center-de-19963/,51,2471,2.06,14.55,clinic
https://painclinics.com/pain-management/pain-institute-of-springfield-tn-37172/,51,1969,2.59,21.63,clinic
https://painclinics.com/?clinics=aurora-pain-clinic,51,1680,3.04,19.08,clinic-old-url
https://painclinics.com/pain-management/st-madron-medical-clinic-llc-ok-74954/,51,1492,3.42,6.93,clinic
https://painclinics.com/pain-management/integrated-pain-care-nh-3110/,51,1002,5.09,16.35,clinic
https://painclinics.com/pain-management/piedmont-pain-medicine-va-24541/,50,2787,1.79,17.72,clinic
https://painclinics.com/pain-management/brian-yee-do-wv-25801/,50,2738,1.83,11.41,clinic
https://www.painclinics.com/pain-management/dr-joseph-alvarez-tx-77598,50,1812,2.76,7.21,clinic
https://painclinics.com/pain-management/friedman-joel-md-hi-96790/,50,1728,2.89,9.14,clinic
https://painclinics.com/pain-management/painpro-specialists-ut-84095/,50,1576,3.17,19.02,clinic
https://painclinics.com/pain-management/virginia-pain-network-and-clinics-va-23235/,50,1309,3.82,40.64,clinic
https://painclinics.com/pain-management/jaconette-andrew-md-ak-99654/,50,892,5.61,27.71,clinic
https://painclinics.com/pain-management/pro-care-specialty-clinic-ok-74953/,49,1864,2.63,8.76,clinic
https://painclinics.com/?clinics=new-west-physicians-spine-sports-medicine,49,1693,2.89,20.03,clinic-old-url
https://painclinics.com/pain-management/dr-john-s-lutz-m-d-ms-39202/,49,1399,3.5,8.68,clinic
https://painclinics.com/?clinics=laurel-pain-clinic,48,9417,0.51,12.8,clinic-old-url
https://painclinics.com/pain-management/dr-tao-chen-md-al-36604/,48,3949,1.22,12.22,clinic
https://painclinics.com/?clinics=advanced-pain-medicine-bhs-pain-center,48,2927,1.64,12.06,clinic-old-url
https://www.painclinics.com/pain-management/premier-pain-spine-al-35906,48,1468,3.27,10.41,clinic
https://www.painclinics.com/pain-management/dr-brian-t-nichol-md-ar-72116,48,1215,3.95,14.95,clinic
https://painclinics.com/pain-management/wenatchee-pain-relief-wa-98802/,47,4679,1.0,6.68,clinic
https://www.painclinics.com/pain-management/gupta-avinash-md-sc-29118,47,1032,4.55,9.53,clinic
https://painclinics.com/pain-management/meadow-city-procedural-pain-management-nm-87701/,47,806,5.83,6.98,clinic
https://painclinics.com/pain-management/pain-relief-center-of-cape-cod-ma-2660/,47,714,6.58,16.84,clinic
https://painclinics.com/?clinics=fenix-health-llc,46,2173,2.12,20.5,clinic-old-url
https://painclinics.com/pain-management/louisiana-pain-physicians-la-71106/,46,1987,2.32,23.94,clinic
https://painclinics.com/pain-management/ahmad-usmani-md-nh-3038/,46,1751,2.63,10.97,clinic
https://painclinics.com/pain-management/omega-joint-spine-centers-sachin-k-shah-md-parsippany-and-somerset-nj-8873/,46,1636,2.81,10.61,clinic
https://painclinics.com/pain-management/gisele-j-girault-md-pain-medicine-specialists-sc-29708/,46,1128,4.08,7.69,clinic
https://www.painclinics.com/pain-management/christopher-stowe-md-ma-2747,46,986,4.67,9.62,clinic
https://www.painclinics.com/pain-management/pain-clinic-of-northwest-florida-fl-32405,45,2085,2.16,16.7,clinic
https://www.painclinics.com/pain-management/oregon-pain-spine-specialists-or-97401,45,1930,2.33,13.53,clinic
https://www.painclinics.com/pain-management/dr-tao-chen-md-al-36604,45,1866,2.41,8.21,clinic
https://painclinics.com/?clinics=midwest-pain-rehabilitation-cho-myung-j-md,45,1265,3.56,25.0,clinic-old-url
https://painclinics.com/pain-management/may-pain-institute-ky-40701/,45,1179,3.82,11.51,clinic
https://www.painclinics.com/pain-management/carolina-spine-and-sport-rehabilitation-specialists-pa-sc-29485,45,920,4.89,7.04,clinic
https://painclinics.com/?clinics=regen-doctors-pain-specialists-gene-v-levinstein-m-d-allentown-pa,44,3905,1.13,17.49,clinic-old-url
https://painclinics.com/pain-management/pain-specialists-of-cincinnati-oh-45248/,44,3476,1.27,26.44,clinic
https://www.painclinics.com/pain-management/pennsylvania-pain-specialists-gene-levinstein-md-pa-18017,44,1884,2.34,8.95,clinic
https://painclinics.com/pain-management/pain-care-pllc-wv-25701/,44,1107,3.97,11.6,clinic
https://www.painclinics.com/pain-management/dr-lydia-h-ferrell-md-in-46227,44,596,7.38,5.43,clinic
https://painclinics.com/pain-management/interventional-pain-management-mountain-home-ar-72653/,43,9065,0.47,9.96,clinic
https://painclinics.com/pain-management/pain-management-clinic-at-three-crosses-regional-hospital-nm-88001/,43,3463,1.24,23.28,clinic
https://painclinics.com/?clinics=walker-pain-management-center,43,2113,2.04,25.76,clinic-old-url
https://www.painclinics.com/pain-management/west-virginia-pain-institute-wv-25801,43,2043,2.1,8.38,clinic
https://www.painclinics.com/pain-management/southeastern-med-pain-management-oh-43725,43,642,6.7,7.04,clinic
https://painclinics.com/pain-management/john-brown-do-ar-72076/,42,2970,1.41,10.07,clinic
https://painclinics.com/pain-management/carolinas-center-for-advanced-management-of-pain-sc-29212/,42,2897,1.45,9.5,clinic
https://painclinics.com/pain-management/dr-daniel-r-kloster-md-ks-66209/,42,1752,2.4,11.41,clinic
https://painclinics.com/pain-management/renew-medical-clinic-llc-nd-58104/,42,1142,3.68,18.11,clinic
https://www.painclinics.com/pain-management/dr-john-w-nelson-md-ok-73112,42,934,4.5,7.32,clinic
https://painclinics.com/pain-management/ms-pain-migraine-alan-k-cole-md-ms-39402/,41,9783,0.42,11.49,clinic
https://painclinics.com/pain-management/mays-schnapp-neurospine-and-pain-tn-38305/,41,4926,0.83,10.72,clinic
https://www.painclinics.com/pain-management/grace-point-pain-management-tn-37804,41,3547,1.16,8.09,clinic
https://painclinics.com/pain-management/montana-advanced-pain-and-spine-mt-59701/,41,2900,1.41,8.88,clinic
https://painclinics.com/pain-management/dr-odeane-h-connor-md-al-35901/,41,2531,1.62,9.02,clinic
https://painclinics.com/pain-management/elite-pain-consultants-tn-37934/,41,2268,1.81,18.48,clinic
https://painclinics.com/?clinics=columbia-pain-management-mallhi-moin-u-md,41,1764,2.32,11.17,clinic-old-url
https://painclinics.com/pain-management/advanced-pain-specialists-il-60423/,41,1216,3.37,12.27,clinic
https://painclinics.com/pain-management/william-newton-do-tn-37398/,41,1170,3.5,11.31,clinic
https://www.painclinics.com/pain-management/elite-pain-consultants-tn-37934,41,948,4.32,13.97,clinic
https://www.painclinics.com/pain-management/comprehensive-pain-management-center-brinton-lake-pa-19342,41,679,6.04,10.71,clinic
https://www.painclinics.com/pain-management/mercy-pain-management-center-north-tn-37849,41,447,9.17,26.46,clinic
https://painclinics.com/pain-management/puget-sound-pain-clinic-bonney-lake-a-sound-pain-alliance-member-wa-98391/,40,4958,0.81,11.12,clinic
https://painclinics.com/pain-management/arkansas-pain-specialists-ar-72908/,40,3669,1.09,16.51,clinic
