Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,novaspine institute,,,,,,590,36,2.31,0.15,5660,"Navigational, Commercial","Site Links, Video, Image, Related Searches, Local Pack","0.00,0.00,0.00,0.00,1.00,0.81,1.00,0.06,0.45,0.62,0.81,0.62",20,,
us,upmc pain management,,,,,,720,28,2.02,0.15,1770000,Navigational,"Local Pack, Site Links, Image, People Also Ask, Related Searches","0.59,1.00,0.17,0.21,0.88,0.72,0.72,0.72,0.72,0.72,0.72,0.72",20,,
us,520 illinois street san francisco ca,,,,,,720,15,0.00,0.07,835000,"Informational, Transactional","People Also Ask, Related Searches, Video, Image","0.07,0.07,0.11,0.03,0.04,0.68,1.00,0.04,0.25,0.68,0.68,0.52",90,,
us,omnispine pain management,,,,,,720,33,2.25,0.06,1870,Navigational,"Related Searches, Local Pack, Site Links, Video, Image, People Also Ask","0.67,0.81,0.67,1.00,0.67,0.81,0.67,0.67,1.00,1.00,1.00,0.67",20,,
us,access pain,,,,,,590,61,2.02,0.02,1030000000,"Navigational, Commercial","Site Links, Video, Image, People Also Ask, Related Searches, Local Pack","0.36,0.23,0.67,0.44,1.00,1.00,0.67,0.81,0.81,0.81,1.00,0.67",20,,
us,summit health solutions,,,,,,720,9,0.50,0.16,212000000,Commercial,"Knowledge Panel, Site Links, Video, People Also Ask, Related Searches","0.37,0.37,0.37,0.25,0.25,1.00,0.68,0.20,0.11,0.20,0.31,0.31",20,,
us,southside pain specialists,,,,,,720,30,2.94,0.02,626000,Navigational,"Knowledge Panel, Site Links, Image, People Also Ask, Related Searches","1.00,0.88,0.72,0.72,0.88,0.72,0.72,1.00,0.48,0.59,0.72,0.48",20,,
us,pain zero,,,,,,720,22,2.51,0.12,571000000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.54,0.54,0.54,0.81,0.81,0.81,0.81,0.81,0.67,0.81,0.81,1.00",20,,
us,apico pain management,,,,,,720,36,2.85,0.06,17400,Navigational,"Video, Related Searches, Local Pack, Site Links","0.67,0.67,0.81,0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.67,0.81",20,,
us,520 illinois street san francisco,,,,,,720,15,0.00,0.01,6220000,"Informational, Transactional","Video, Image, People Also Ask, Related Searches","0.67,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.67,0.81,0.54",90,,
us,mays and schnapp,,,,,,720,31,0.45,0.08,28500,Navigational,"Local Pack, Site Links, People Also Ask, Related Searches","0.36,0.45,0.36,0.30,0.36,0.36,0.30,0.45,0.62,0.62,0.62,0.20",20,,
us,sun pain management,,,,,,720,30,2.28,0.07,570000000,Navigational,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.55,0.67,0.55,0.76,0.67,0.55,0.55,0.67,0.67,0.45,0.76,0.45",20,,
us,3303 s bond ave,,,,,,590,24,0.00,0.05,360000,"Informational, Transactional","Video, Image, People Also Ask, Related Searches, Knowledge Panel","0.16,0.20,0.16,0.20,0.20,0.20,0.36,0.30,0.36,0.30,0.36,0.36",70,,
us,paincare,,,,,,720,57,2.96,0.13,1550000,"Navigational, Commercial","Local Pack, Site Links, Video, Image, Related Searches","0.72,1.00,0.88,1.00,0.88,0.59,0.59,0.72,0.59,0.72,0.59,0.48",20,,
us,southern wellness,,,,,,480,30,4.60,0.03,198000000,"Navigational, Commercial","Local Pack, Site Links, Video, Related Searches","0.48,0.59,0.48,0.59,0.48,0.48,0.59,0.59,0.48,0.59,0.59,0.59",20,,
us,all star pain management,,,,,,590,27,3.36,0.06,321000000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.81,1.00,1.00,1.00,0.81,1.00,0.66,0.81,1.00,1.00,1.00,0.81",20,,
us,envision pain management,,,,,,590,27,2.18,0.04,5700000,Navigational,"Discussions And Forums, Local Pack, Site Links, Video, People Also Ask, Related Searches","0.48,0.72,0.48,0.59,0.48,0.48,0.59,0.59,1.00,0.72,0.72,0.59",20,,
us,aurora racine,,,,,,590,21,3.56,0.07,5680000,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches, Knowledge Panel","0.81,1.00,0.66,1.00,0.81,0.54,0.81,1.00,0.81,1.00,1.00,0.66",70,,
us,carolina orthopaedic and neurosurgical associates,,,,,,590,23,0.00,0.00,20400,Navigational,"Image, Video Carousel, Related Searches, See Results About, Local Pack, Site Links, Video","0.20,0.25,0.20,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.20",20,,
us,200 w 57th st ny ny,,,,,,720,43,0.00,0.11,163000000,Navigational,"Site Links, Video, People Also Ask, Related Searches","0.16,0.08,0.03,0.03,0.54,0.54,1.00,0.02,0.24,0.41,0.41,0.00",20,,
us,bellevue pain and wellness,,,,,,590,26,2.53,0.45,1760000,Navigational,"Related Searches, Knowledge Panel, Site Links, Video, Image","0.66,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.66",20,,
us,qc kinetic,,,,,,590,36,0.00,0.00,1220000,"Navigational, Commercial","Site Links, Video, People Also Ask, Related Searches, AI Overview, Knowledge Panel, Local Pack","0.67,0.55,0.55,0.55,0.55,0.36,0.30,0.30,0.30,0.36,0.45,0.36",20,,
us,twin cities pain,,,,,,590,36,1.00,0.12,17400000,"Navigational, Commercial","Discussions And Forums, Local Pack, Site Links, Video, Image, Video Carousel, Related Searches","0.45,0.20,0.81,0.45,0.00,0.08,0.30,0.45,0.45,0.36,0.45,0.36",20,,
us,las vegas spine and pain center,,,,,,590,38,0.00,0.00,2120000,Navigational,"Site Links, Related Searches, Local Pack","1.00,0.01,0.02,0.13,0.05,0.00,0.65,0.01,0.65,0.01,0.01,0.00",20,,
us,spinal diagnostics,,,,,,590,62,0.76,0.17,75900000,Navigational,"Image, People Also Ask, Related Searches, Local Pack, Site Links, Video","0.45,0.45,0.36,0.45,0.36,0.36,0.55,0.55,0.55,0.55,0.67,0.55",20,,
us,new hampshire neurospine institute,,,,,,590,32,2.76,0.04,4040,Navigational,"Video, Image, People Also Ask, Related Searches, Knowledge Panel, Site Links","0.66,0.81,0.66,0.81,0.81,0.81,0.54,1.00,1.00,0.81,0.66,0.81",20,,
us,200 west 57th street new york,,,,,,720,37,0.00,0.11,1340000,Navigational,"Site Links, Video, Image, People Also Ask, Related Searches","0.67,0.13,0.03,1.00,1.00,1.00,0.16,0.10,0.45,0.76,0.76,0.00",20,,
us,garden state pain and orthopedics,,,,,,590,38,0.00,0.00,1320000,"Navigational, Commercial","Knowledge Panel, Local Pack, Site Links, Image, Related Searches","0.00,0.01,0.00,0.01,0.02,0.03,0.10,1.00,0.13,1.00,0.20,0.20",20,,
us,wake pain and spine,,,,,,590,39,0.73,0.14,74900000,"Navigational, Commercial","Knowledge Panel, Local Pack, Site Links, Video, Related Searches","0.24,0.24,0.45,0.67,0.55,0.55,0.30,0.45,0.55,0.45,0.36,0.55",20,,
us,southern nevada pain center,,,,,,590,39,0.00,0.00,6880000,Navigational,"Related Searches, Local Pack, Site Links, Video, Image, People Also Ask","0.59,0.72,0.88,0.72,0.48,0.72,0.48,0.72,0.59,0.59,1.00,0.14",20,,
us,dunes pain clinic,,,,,,590,18,0.00,0.00,421000,Navigational,"Knowledge Panel, Site Links, Video, Image, People Also Ask, Related Searches","0.24,0.30,0.24,0.30,0.30,0.24,0.30,0.30,0.30,0.30,0.30,1.00",20,,
us,alliance pain and spine,,,,,,590,22,0.00,0.00,8060000,Navigational,"Site Links, Video, Image, Related Searches, Knowledge Panel, Local Pack","0.07,0.13,0.10,0.13,0.10,0.10,0.08,0.10,1.00,0.10,0.10,0.00",20,,
us,michigan spine and pain,,,,,,590,32,2.98,0.09,9780000,"Navigational, Commercial","Site Links, Video, Image, Related Searches, Local Pack","0.66,1.00,0.81,0.81,0.81,0.66,0.81,1.00,0.81,1.00,1.00,0.81",20,,
us,pain management tupelo ms,,,,,,590,16,2.38,0.12,221000,Commercial,"Image, People Also Ask, Related Searches, Local Pack, Video","0.30,0.36,0.36,0.36,0.36,0.30,0.30,0.45,1.00,0.45,0.67,0.55",90,,
us,redefine healthcare edison nj,,,,,,590,42,2.10,0.09,46000,"Informational, Transactional","Knowledge Panel, Site Links, Video, Image, People Also Ask, Related Searches","0.44,0.54,0.81,0.54,0.66,0.81,1.00,1.00,0.66,1.00,1.00,1.00",20,,
us,3 cooper plaza camden nj,,,,,,590,6,1.46,0.03,720000,Informational,"Video, Image, Related Searches","0.81,1.00,0.81,1.00,0.44,0.54,0.66,0.36,0.54,0.66,0.81,1.00",90,,
us,dr groth smithtown,,,,,,590,25,1.21,0.20,5430,Navigational,"Knowledge Panel, Site Links, Video, People Also Ask, Related Searches","0.55,0.45,0.13,1.00,0.36,0.24,0.24,0.62,0.45,0.36,0.20,0.20",20,,
us,tennessee valley pain management,,,,,,590,10,1.51,0.10,6820000,Commercial,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.81,0.66,0.81,1.00,1.00,0.66,0.66,0.66,0.81,0.54,0.81,0.66",20,,
us,pain care florida,,,,,,590,26,1.76,0.29,607000000,"Navigational, Commercial","Image, People Also Ask, Related Searches, Local Pack, Site Links, Video","0.39,0.59,0.39,0.59,0.26,0.14,0.39,0.88,0.59,0.32,1.00,0.72",20,,
us,200 west 57th,,,,,,590,30,2.54,0.11,1450000000,Navigational,"Site Links, Video, Image, Related Searches","0.45,0.30,0.45,0.55,0.67,0.55,0.36,0.55,0.13,0.30,0.30,0.20",20,,
us,pain specialists of charleston charleston sc,,,,,,720,23,2.79,0.07,1310000,"Navigational, Commercial","Local Pack, Site Links, Image, Related Searches","0.67,0.13,1.00,1.00,1.00,0.76,0.76,0.08,0.13,0.13,0.13,0.03",20,,
us,greater maryland pain management,,,,,,590,30,0.00,0.00,20700000,Navigational,"Image, Related Searches, Local Pack, Site Links, Video","0.59,0.72,0.59,0.59,0.59,0.59,0.72,0.72,0.59,0.59,0.59,0.59",20,,
us,pain medicine of the south,,,,,,480,18,0.00,0.01,189000000,Navigational,"Knowledge Panel, Site Links, Video, People Also Ask, Related Searches","0.54,0.54,0.66,0.66,0.81,1.00,0.81,0.81,0.81,1.00,0.81,0.81",20,,
us,ohio health chillicothe,,,,,,480,23,0.92,0.02,2680000,Navigational,"Image, People Also Ask, Related Searches, Local Pack, Video","0.54,0.81,0.66,0.66,0.66,0.66,0.66,0.54,0.66,0.66,0.54,0.54",90,,
us,associated pain specialists tn,,,,,,390,36,3.24,0.04,717000,"Navigational, Commercial","Local Pack, Site Links, People Also Ask, Related Searches","0.26,0.17,0.26,0.21,0.48,0.59,0.59,0.17,0.17,0.88,0.72,1.00",20,,
us,dr blake christensen,,,,,,480,26,5.79,0.03,4020000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches","1.00,1.00,0.66,0.66,0.66,0.81,0.54,0.66,0.54,0.81,1.00,0.54",20,,
us,louisiana pain specialists,,,,,,480,30,0.28,0.09,301000000,"Navigational, Commercial","Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Local Pack","0.30,0.30,0.30,0.30,0.45,0.45,0.24,0.30,0.36,0.24,0.30,0.24",20,,
us,louisiana pain care monroe la,,,,,,480,32,0.00,0.02,1610000,Navigational,"Site Links, Video, Image, People Also Ask, Related Searches, Knowledge Panel","0.66,0.81,0.36,0.66,0.81,0.66,1.00,0.81,0.81,0.44,0.44,0.81",20,,
us,american pain consortium,,,,,,480,33,0.00,0.02,26300000,Navigational,"Knowledge Panel, Site Links, People Also Ask, Related Searches","0.81,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,1.00",20,,
us,puget sound pain,,,,,,480,19,2.83,0.11,1290000,Commercial,"Related Searches, Local Pack, Video, Image, People Also Ask","0.44,0.54,0.81,0.81,0.54,0.66,0.54,0.66,0.66,0.54,0.44,0.54",90,,
us,choice pain management,,,,,,480,34,4.88,0.18,648000000,"Navigational, Commercial","Related Searches, Local Pack, Site Links, Video, Image","0.54,0.81,0.54,0.81,0.81,0.81,0.66,0.81,0.81,0.81,0.81,0.66",20,,
us,sc pain,,,,,,390,17,0.00,0.04,212000000,"Navigational, Commercial","AI Overview, Local Pack, Image Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.55,0.36,0.55,0.20,0.45,0.13,0.24,0.24,0.16,0.10,0.01,0.76",20,,
us,kc pain center,,,,,,480,16,0.00,0.03,57600000,"Navigational, Commercial","People Also Ask, Related Searches, Local Pack, Site Links, Video, Image","0.66,0.54,0.44,0.44,0.54,0.44,0.54,0.81,0.54,0.66,0.81,0.81",20,,
us,carolinas pain institute,,,,,,480,33,0.57,0.15,483000,Navigational,"Image, Related Searches, Local Pack, Site Links, Video","0.32,0.39,0.48,0.26,0.88,0.00,0.48,0.59,0.72,0.59,0.48,0.48",20,,
us,pain and wellness center peabody ma,,,,,,480,31,2.24,0.05,329000,Navigational,"Knowledge Panel, Site Links, People Also Ask, Related Searches","0.66,0.66,0.81,0.81,0.81,0.66,0.66,1.00,0.66,0.81,0.81,0.81",20,,
us,mousad,,,,,,480,64,1.08,0.00,10700000,Informational,"Video Carousel, People Also Ask, Related Searches, Things To Know, Knowledge Panel, Top Stories, Video, Image","0.10,0.00,0.08,0.08,0.10,0.07,0.24,0.10,0.02,0.24,0.27,0.05",70,,
us,sepa horsham,,,,,,390,28,4.10,0.41,21300,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Knowledge Panel","0.66,0.66,0.44,0.35,0.66,0.81,0.81,0.81,0.81,0.81,1.00,0.81",20,,
us,synovation medical group pasadena,,,,,,390,21,0.00,0.04,2800,"Informational, Transactional","Knowledge Panel, Video, Image, Related Searches","0.35,0.44,1.00,0.81,0.66,1.00,0.81,0.81,0.81,0.66,1.00,1.00",70,,
